@relation spiel-weka.filters.unsupervised.attribute.Remove-R2_predicted

@attribute Verein numeric
@attribute Spieltag numeric
@attribute letzte3Tore numeric
@attribute letzte3GTore numeric
@attribute niederlagen5 numeric
@attribute siege5 numeric
@attribute draws5 numeric
@attribute predictedreal_outcome {Sieg,Unentschieden,Niederlage}
@attribute real_outcome {Sieg,Unentschieden,Niederlage}

@data
33,5,3,4,1,1,2,Unentschieden,Niederlage
5,23,8,2,2,3,0,Sieg,Niederlage
15,34,4,3,1,2,2,Sieg,Niederlage
40,31,3,3,1,2,2,Unentschieden,Niederlage
30,10,2,7,3,1,1,Unentschieden,Sieg
7,28,5,2,2,2,1,Sieg,Sieg
21,28,6,2,1,3,1,Sieg,Sieg
15,4,3,6,3,0,0,Unentschieden,Sieg
28,27,6,3,1,1,3,Sieg,Sieg
4,16,7,5,1,3,1,Sieg,Sieg
37,22,5,2,0,3,2,Sieg,Sieg
22,29,3,5,2,1,2,Unentschieden,Sieg
19,13,3,1,0,3,2,Sieg,Sieg
32,10,5,3,1,1,3,Unentschieden,Sieg
39,9,2,4,1,2,2,Unentschieden,Sieg
4,26,7,6,1,3,1,Sieg,Sieg
38,28,5,0,1,4,0,Sieg,Sieg
3,30,5,4,3,1,1,Sieg,Sieg
7,13,9,2,1,4,0,Sieg,Sieg
21,11,4,6,2,2,1,Unentschieden,Sieg
42,30,3,3,2,1,2,Unentschieden,Sieg
16,13,6,7,2,2,1,Unentschieden,Sieg
9,4,2,6,2,1,0,Unentschieden,Sieg
3,7,7,4,1,4,0,Sieg,Sieg
1,21,9,0,0,5,0,Sieg,Sieg
56,13,6,4,2,1,2,Unentschieden,Sieg
26,32,3,4,1,1,3,Unentschieden,Sieg
43,23,4,1,1,3,1,Unentschieden,Sieg
48,32,3,9,4,0,1,Unentschieden,Sieg
56,25,3,3,2,1,2,Unentschieden,Sieg
10,5,10,10,1,1,2,Sieg,Sieg
3,31,4,4,2,2,1,Sieg,Sieg
52,26,4,6,3,1,1,Unentschieden,Sieg
30,12,3,4,4,1,0,Unentschieden,Sieg
33,21,1,6,3,0,2,Unentschieden,Sieg
45,25,6,2,2,2,1,Unentschieden,Sieg
32,25,3,5,2,3,0,Unentschieden,Sieg
19,16,4,2,2,2,1,Unentschieden,Sieg
22,8,2,3,2,1,2,Unentschieden,Sieg
47,16,4,4,1,1,3,Unentschieden,Sieg
42,6,6,3,0,4,1,Sieg,Sieg
6,32,5,6,3,2,0,Unentschieden,Sieg
17,30,4,5,1,3,1,Sieg,Sieg
28,15,3,5,2,1,2,Unentschieden,Sieg
39,36,3,1,1,3,1,Sieg,Sieg
17,17,0,6,4,1,0,Unentschieden,Sieg
47,33,4,5,3,1,1,Unentschieden,Sieg
37,7,6,1,1,3,1,Sieg,Sieg
37,9,7,2,1,4,0,Sieg,Sieg
11,31,3,6,4,1,0,Unentschieden,Sieg
35,34,5,3,2,1,2,Unentschieden,Sieg
19,28,2,0,0,2,3,Sieg,Sieg
5,20,4,7,2,2,1,Unentschieden,Sieg
23,7,6,4,0,3,2,Sieg,Sieg
46,11,5,3,2,3,0,Unentschieden,Sieg
5,6,3,5,3,2,0,Unentschieden,Sieg
19,24,4,3,1,2,2,Sieg,Sieg
19,18,5,1,2,3,0,Sieg,Sieg
39,19,2,6,3,1,1,Unentschieden,Sieg
19,19,8,1,2,3,0,Sieg,Sieg
44,23,4,4,1,1,3,Unentschieden,Sieg
39,32,2,0,0,4,1,Sieg,Sieg
5,33,9,4,1,3,1,Sieg,Sieg
33,15,2,0,2,2,1,Unentschieden,Sieg
3,10,5,2,0,4,1,Sieg,Sieg
1,6,5,1,0,4,1,Sieg,Sieg
44,18,3,4,1,1,3,Unentschieden,Sieg
43,13,3,2,3,2,0,Unentschieden,Sieg
6,12,4,6,3,1,1,Unentschieden,Sieg
46,15,3,7,4,1,0,Unentschieden,Sieg
52,12,5,3,1,4,0,Unentschieden,Sieg
23,11,8,4,1,4,0,Sieg,Unentschieden
47,22,4,1,2,2,1,Unentschieden,Unentschieden
9,31,1,5,3,1,1,Unentschieden,Unentschieden
49,31,2,2,2,2,1,Unentschieden,Unentschieden
37,27,4,2,0,4,1,Sieg,Unentschieden
18,12,3,5,3,2,0,Unentschieden,Unentschieden
11,12,3,8,4,0,1,Unentschieden,Unentschieden
