@relation spiel

@attribute Verein numeric
@attribute Name string
@attribute Spieltag numeric
@attribute letzte3Tore numeric
@attribute letzte3GTore numeric
@attribute niederlagen5 numeric
@attribute siege5 numeric
@attribute draws5 numeric
@attribute real_outcome {Sieg, Unentschieden, Niederlage}

@data
4,'FC Schalke 04',26,7,6,1,3,1,Sieg
4,'FC Schalke 04',25,5,5,1,3,1,Sieg
4,'FC Schalke 04',24,3,6,1,3,1,Sieg
4,'FC Schalke 04',23,4,1,0,4,1,Niederlage
4,'FC Schalke 04',22,6,2,0,4,1,Unentschieden
4,'FC Schalke 04',21,7,1,0,4,1,Sieg
4,'FC Schalke 04',20,5,1,1,3,1,Sieg
4,'FC Schalke 04',19,5,0,1,3,1,Sieg
4,'FC Schalke 04',18,3,2,1,2,2,Sieg
4,'FC Schalke 04',17,6,2,1,3,1,Unentschieden
4,'FC Schalke 04',16,7,5,1,3,1,Sieg
4,'FC Schalke 04',15,9,4,1,3,1,Niederlage
4,'FC Schalke 04',14,8,4,1,3,1,Sieg
4,'FC Schalke 04',13,6,4,1,4,0,Unentschieden
4,'FC Schalke 04',12,6,5,1,3,1,Sieg
4,'FC Schalke 04',11,8,6,2,2,1,Sieg
4,'FC Schalke 04',10,10,6,1,3,1,Unentschieden
4,'FC Schalke 04',9,7,8,1,3,1,Sieg
4,'FC Schalke 04',8,4,7,2,2,1,Sieg
4,'FC Schalke 04',7,3,4,3,2,0,Unentschieden
4,'FC Schalke 04',6,4,2,2,2,1,Unentschieden
4,'FC Schalke 04',5,3,6,2,1,1,Sieg
4,'FC Schalke 04',4,4,9,2,0,1,Sieg
5,'VfL Wolfsburg',34,7,4,1,3,1,Sieg
5,'VfL Wolfsburg',33,9,4,1,3,1,Sieg
5,'VfL Wolfsburg',32,8,4,1,4,0,Unentschieden
5,'VfL Wolfsburg',31,7,4,1,3,1,Sieg
5,'VfL Wolfsburg',30,6,4,1,2,2,Sieg
5,'VfL Wolfsburg',29,6,3,1,2,2,Niederlage
5,'VfL Wolfsburg',28,5,3,2,1,2,Sieg
5,'VfL Wolfsburg',27,3,8,2,1,2,Sieg
5,'VfL Wolfsburg',26,4,13,2,2,1,Unentschieden
5,'VfL Wolfsburg',25,6,13,2,3,0,Unentschieden
5,'VfL Wolfsburg',24,7,8,2,3,0,Unentschieden
5,'VfL Wolfsburg',23,8,2,2,3,0,Niederlage
5,'VfL Wolfsburg',22,6,3,2,2,1,Sieg
5,'VfL Wolfsburg',21,5,5,2,2,1,Sieg
5,'VfL Wolfsburg',20,4,7,2,2,1,Sieg
5,'VfL Wolfsburg',19,6,6,1,2,2,Niederlage
5,'VfL Wolfsburg',18,8,3,0,2,3,Unentschieden
5,'VfL Wolfsburg',17,7,2,0,3,2,Unentschieden
5,'VfL Wolfsburg',16,5,2,0,3,2,Sieg
5,'VfL Wolfsburg',15,4,3,0,3,2,Sieg
5,'VfL Wolfsburg',14,5,3,0,4,1,Unentschieden
5,'VfL Wolfsburg',13,7,2,1,4,0,Unentschieden
5,'VfL Wolfsburg',12,7,2,2,3,0,Sieg
5,'VfL Wolfsburg',11,5,3,2,3,0,Sieg
5,'VfL Wolfsburg',10,2,4,3,2,0,Sieg
5,'VfL Wolfsburg',9,2,4,3,2,0,Sieg
5,'VfL Wolfsburg',8,3,5,3,2,0,Unentschieden
5,'VfL Wolfsburg',7,5,4,2,3,0,Niederlage
5,'VfL Wolfsburg',6,3,5,3,2,0,Sieg
5,'VfL Wolfsburg',5,6,2,2,2,0,Niederlage
5,'VfL Wolfsburg',4,4,4,2,1,0,Sieg
6,'1. FSV Mainz 05',34,5,7,3,2,0,Sieg
6,'1. FSV Mainz 05',33,7,4,2,3,0,Niederlage
6,'1. FSV Mainz 05',32,5,6,3,2,0,Sieg
6,'1. FSV Mainz 05',31,6,2,3,2,0,Niederlage
6,'1. FSV Mainz 05',30,4,5,3,2,0,Sieg
6,'1. FSV Mainz 05',29,4,5,2,2,1,Niederlage
6,'1. FSV Mainz 05',28,5,7,2,2,1,Sieg
6,'1. FSV Mainz 05',27,5,5,1,2,2,Niederlage
6,'1. FSV Mainz 05',26,6,3,0,3,2,Unentschieden
6,'1. FSV Mainz 05',25,2,1,1,2,2,Sieg
6,'1. FSV Mainz 05',24,3,0,1,3,1,Unentschieden
6,'1. FSV Mainz 05',23,2,3,1,3,1,Sieg
6,'1. FSV Mainz 05',22,4,3,1,4,0,Unentschieden
6,'1. FSV Mainz 05',21,4,4,1,3,1,Sieg
6,'1. FSV Mainz 05',20,7,3,0,3,2,Niederlage
6,'1. FSV Mainz 05',19,5,3,1,2,2,Sieg
6,'1. FSV Mainz 05',18,4,3,1,2,2,Sieg
6,'1. FSV Mainz 05',17,2,4,1,2,2,Sieg
6,'1. FSV Mainz 05',16,5,6,2,2,1,Unentschieden
6,'1. FSV Mainz 05',15,5,5,2,3,0,Unentschieden
6,'1. FSV Mainz 05',14,5,4,2,3,0,Unentschieden
6,'1. FSV Mainz 05',13,4,2,2,2,1,Sieg
6,'1. FSV Mainz 05',12,4,6,3,1,1,Sieg
6,'1. FSV Mainz 05',11,5,6,3,1,1,Niederlage
6,'1. FSV Mainz 05',10,4,9,4,0,1,Sieg
6,'1. FSV Mainz 05',9,4,9,4,0,1,Niederlage
6,'1. FSV Mainz 05',8,2,8,4,1,0,Unentschieden
6,'1. FSV Mainz 05',7,2,9,3,2,0,Niederlage
6,'1. FSV Mainz 05',6,3,5,2,3,0,Unentschieden
6,'1. FSV Mainz 05',5,5,5,1,3,0,Unentschieden
6,'1. FSV Mainz 05',4,7,3,0,3,0,Niederlage
7,'Borussia Mönchengladbach',34,6,5,1,3,1,Niederlage
7,'Borussia Mönchengladbach',33,4,5,1,3,1,Sieg
7,'Borussia Mönchengladbach',32,5,5,2,2,1,Sieg
7,'Borussia Mönchengladbach',31,6,2,1,3,1,Niederlage
7,'Borussia Mönchengladbach',30,5,2,1,4,0,Unentschieden
7,'Borussia Mönchengladbach',29,6,2,2,3,0,Sieg
7,'Borussia Mönchengladbach',28,5,2,2,2,1,Sieg
7,'Borussia Mönchengladbach',27,6,3,1,2,2,Niederlage
7,'Borussia Mönchengladbach',26,4,4,1,1,3,Sieg
7,'Borussia Mönchengladbach',25,4,5,2,0,3,Sieg
7,'Borussia Mönchengladbach',24,4,4,2,0,3,Unentschieden
7,'Borussia Mönchengladbach',23,3,4,3,0,2,Unentschieden
7,'Borussia Mönchengladbach',22,2,5,3,0,2,Unentschieden
7,'Borussia Mönchengladbach',21,1,6,3,0,2,Unentschieden
7,'Borussia Mönchengladbach',20,3,7,2,1,2,Unentschieden
7,'Borussia Mönchengladbach',19,2,4,1,2,2,Niederlage
7,'Borussia Mönchengladbach',18,4,3,0,3,2,Unentschieden
7,'Borussia Mönchengladbach',17,3,1,0,4,1,Unentschieden
7,'Borussia Mönchengladbach',16,5,1,0,5,0,Unentschieden
7,'Borussia Mönchengladbach',15,6,1,0,5,0,Sieg
7,'Borussia Mönchengladbach',14,7,1,1,4,0,Sieg
7,'Borussia Mönchengladbach',13,9,2,1,4,0,Sieg
7,'Borussia Mönchengladbach',12,6,2,1,3,1,Sieg
7,'Borussia Mönchengladbach',11,6,2,1,3,1,Sieg
7,'Borussia Mönchengladbach',10,4,3,2,2,1,Sieg
7,'Borussia Mönchengladbach',9,8,3,1,3,1,Niederlage
7,'Borussia Mönchengladbach',8,7,5,2,2,1,Sieg
7,'Borussia Mönchengladbach',7,9,4,2,3,0,Unentschieden
7,'Borussia Mönchengladbach',6,7,7,3,2,0,Sieg
7,'Borussia Mönchengladbach',5,9,5,2,2,0,Niederlage
7,'Borussia Mönchengladbach',4,6,7,2,1,0,Sieg
8,'Hertha BSC',34,2,2,2,1,2,Unentschieden
8,'Hertha BSC',33,3,2,2,1,2,Niederlage
8,'Hertha BSC',32,2,3,3,0,2,Sieg
8,'Hertha BSC',31,2,5,4,0,1,Unentschieden
8,'Hertha BSC',30,2,6,4,0,1,Niederlage
8,'Hertha BSC',29,1,8,4,0,1,Unentschieden
8,'Hertha BSC',28,1,9,3,0,2,Niederlage
8,'Hertha BSC',27,1,7,2,1,2,Unentschieden
8,'Hertha BSC',26,1,4,2,1,2,Niederlage
8,'Hertha BSC',25,3,2,1,2,2,Unentschieden
8,'Hertha BSC',24,3,3,2,2,1,Unentschieden
8,'Hertha BSC',23,6,3,3,2,0,Unentschieden
8,'Hertha BSC',22,5,5,3,2,0,Sieg
8,'Hertha BSC',21,4,4,2,3,0,Unentschieden
8,'Hertha BSC',20,3,5,2,3,0,Sieg
8,'Hertha BSC',19,5,4,1,3,1,Unentschieden
8,'Hertha BSC',18,7,3,1,3,1,Niederlage
8,'Hertha BSC',17,5,2,1,3,1,Sieg
8,'Hertha BSC',16,2,1,2,2,1,Sieg
8,'Hertha BSC',15,3,3,3,1,1,Sieg
8,'Hertha BSC',14,3,5,3,2,0,Unentschieden
8,'Hertha BSC',13,5,7,2,2,1,Unentschieden
8,'Hertha BSC',12,3,5,2,2,1,Sieg
8,'Hertha BSC',11,4,4,1,2,2,Unentschieden
8,'Hertha BSC',10,5,2,1,2,2,Niederlage
8,'Hertha BSC',9,5,3,2,1,2,Sieg
8,'Hertha BSC',8,4,3,2,2,1,Unentschieden
8,'Hertha BSC',7,1,4,2,1,2,Sieg
8,'Hertha BSC',6,1,3,2,2,1,Unentschieden
8,'Hertha BSC',5,3,4,1,2,1,Unentschieden
8,'Hertha BSC',4,9,3,0,2,1,Niederlage
9,'FC Augsburg',34,4,1,1,3,1,Sieg
9,'FC Augsburg',33,3,3,2,2,1,Sieg
9,'FC Augsburg',32,1,2,3,1,1,Sieg
9,'FC Augsburg',31,1,5,3,1,1,Unentschieden
9,'FC Augsburg',30,2,6,3,1,1,Niederlage
9,'FC Augsburg',29,2,7,3,1,1,Sieg
9,'FC Augsburg',28,3,6,2,1,2,Niederlage
9,'FC Augsburg',27,4,4,1,2,2,Unentschieden
9,'FC Augsburg',26,4,4,2,2,1,Unentschieden
9,'FC Augsburg',25,7,4,1,3,1,Unentschieden
9,'FC Augsburg',24,5,4,1,3,1,Sieg
9,'FC Augsburg',23,8,4,1,3,1,Unentschieden
9,'FC Augsburg',22,7,3,1,2,2,Sieg
9,'FC Augsburg',21,9,4,0,3,2,Unentschieden
9,'FC Augsburg',20,6,4,0,3,2,Sieg
9,'FC Augsburg',19,7,4,0,2,3,Sieg
9,'FC Augsburg',18,6,2,0,3,2,Unentschieden
9,'FC Augsburg',17,5,1,1,3,1,Unentschieden
9,'FC Augsburg',16,3,0,1,3,1,Sieg
9,'FC Augsburg',15,2,3,2,2,1,Sieg
9,'FC Augsburg',14,4,4,3,2,0,Unentschieden
9,'FC Augsburg',13,3,6,4,1,0,Sieg
9,'FC Augsburg',12,4,5,3,1,1,Niederlage
